code	province	district	neighborhood
1132068100	서울특별시	도봉구	쌍문제4동
1132069000	서울특별시	도봉구	방학제1동
1132070000	서울특별시	도봉구	방학제2동
1132071000	서울특별시	도봉구	방학제3동
1135056000	서울특별시	노원구	월계1동
1135057000	서울특별시	노원구	월계2동
1135058000	서울특별시	노원구	월계3동
1135059500	서울특별시	노원구	공릉1동
1135060000	서울특별시	노원구	공릉2동
1135061100	서울특별시	노원구	하계1동
1135061200	서울특별시	노원구	하계2동
1135061900	서울특별시	노원구	중계본동
1135062100	서울특별시	노원구	중계1동
1135062400	서울특별시	노원구	중계4동
1135062500	서울특별시	노원구	중계2.3동
1135063000	서울특별시	노원구	상계1동
1135064000	서울특별시	노원구	상계2동
1135066500	서울특별시	노원구	상계3.4동
1135067000	서울특별시	노원구	상계5동
1135069500	서울특별시	노원구	상계6.7동
1135070000	서울특별시	노원구	상계8동
1135071000	서울특별시	노원구	상계9동
1135072000	서울특별시	노원구	상계10동
1138051000	서울특별시	은평구	녹번동
1138052000	서울특별시	은평구	불광제1동
1138053000	서울특별시	은평구	불광제2동
1138055100	서울특별시	은평구	갈현제1동
1138055200	서울특별시	은평구	갈현제2동
1138056000	서울특별시	은평구	구산동
1138057000	서울특별시	은평구	대조동
1138058000	서울특별시	은평구	응암제1동
1138059000	서울특별시	은평구	응암제2동
1138060000	서울특별시	은평구	응암제3동
1138062500	서울특별시	은평구	역촌동
1138063100	서울특별시	은평구	신사제1동
1138063200	서울특별시	은평구	신사제2동
1138064000	서울특별시	은평구	증산동
1138065000	서울특별시	은평구	수색동
1138069000	서울특별시	은평구	진관동
1141052000	서울특별시	서대문구	천연동
1141055500	서울특별시	서대문구	북아현동
1141056500	서울특별시	서대문구	충현동
1141058500	서울특별시	서대문구	신촌동
1141061500	서울특별시	서대문구	연희동
1141062000	서울특별시	서대문구	홍제제1동
1141064000	서울특별시	서대문구	홍제제3동
1141065500	서울특별시	서대문구	홍제제2동
1141066000	서울특별시	서대문구	홍은제1동
1141068500	서울특별시	서대문구	홍은제2동
1141069000	서울특별시	서대문구	남가좌제1동
1141070000	서울특별시	서대문구	남가좌제2동
1141071000	서울특별시	서대문구	북가좌제1동
1141072000	서울특별시	서대문구	북가좌제2동
1144055500	서울특별시	마포구	아현동
1144056500	서울특별시	마포구	공덕동
1144058500	서울특별시	마포구	도화동
1144059000	서울특별시	마포구	용강동
1144060000	서울특별시	마포구	대흥동
1144061000	서울특별시	마포구	염리동
1144063000	서울특별시	마포구	신수동
1144065500	서울특별시	마포구	서강동
1144066000	서울특별시	마포구	서교동
1144068000	서울특별시	마포구	합정동
1144069000	서울특별시	마포구	망원제1동
1144070000	서울특별시	마포구	망원제2동
1144071000	서울특별시	마포구	연남동
1144072000	서울특별시	마포구	성산제1동
1144073000	서울특별시	마포구	성산제2동
1144074000	서울특별시	마포구	상암동
1147051000	서울특별시	양천구	목1동
1147052000	서울특별시	양천구	목2동
1147053000	서울특별시	양천구	목3동
1147054000	서울특별시	양천구	목4동
1147055000	서울특별시	양천구	목5동
1147056000	서울특별시	양천구	신월1동
1147057000	서울특별시	양천구	신월2동
1147058000	서울특별시	양천구	신월3동
1147059000	서울특별시	양천구	신월4동
1147060000	서울특별시	양천구	신월5동
1147061000	서울특별시	양천구	신월6동
1147061100	서울특별시	양천구	신월7동
1147062000	서울특별시	양천구	신정1동
1147063000	서울특별시	양천구	신정2동
1147064000	서울특별시	양천구	신정3동
1147065000	서울특별시	양천구	신정4동
1147067000	서울특별시	양천구	신정6동
1147068000	서울특별시	양천구	신정7동
1150051000	서울특별시	강서구	염창동
1150052000	서울특별시	강서구	등촌제1동
1150053000	서울특별시	강서구	등촌제2동
1150053500	서울특별시	강서구	등촌제3동
1150054000	서울특별시	강서구	화곡제1동
1150055000	서울특별시	강서구	화곡제2동
1150056000	서울특별시	강서구	화곡제3동
1150057000	서울특별시	강서구	화곡제4동
1150059000	서울특별시	강서구	화곡본동
1150059100	서울특별시	강서구	화곡제6동
1150059300	서울특별시	강서구	화곡제8동
1150060300	서울특별시	강서구	가양제1동
1150060400	서울특별시	강서구	가양제2동
1150060500	서울특별시	강서구	가양제3동
1150061100	서울특별시	강서구	발산제1동
1150061500	서울특별시	강서구	우장산동
1150062000	서울특별시	강서구	공항동
1150063000	서울특별시	강서구	방화제1동
1150064000	서울특별시	강서구	방화제2동
1150064100	서울특별시	강서구	방화제3동
1153051000	서울특별시	구로구	신도림동
1153052000	서울특별시	구로구	구로제1동
